,Overall
time_pat2_wk아침,0.14508933768
day_pat2일요일,0.1430223894
month_pat27월,0.14233063424
day_pat3수요일,0.14005731912
month_pat111월,0.13994001625
time_pat1오전,0.13581097181
wk_pat1주중형,0.13367555622
day_pat1화요일,0.12978481833
time_pat_wk오전,0.12869696706
day_pat1일요일,0.12723497669
time_pat3_wk오후,0.12590384682
time_pat3_we오후,0.12452280408
month_pat32월,0.1235257474
day_pat1목요일,0.12341743184
time_pat2_we오후,0.12322063899
wk_pat3주중형,0.12179867728
time_pat3출근,0.12108867396
d_v_.16,0.12007429634
time_pat2저녁,0.11920524519
time_pat3_wk오전,0.11839363922
d_v_.10,0.11789534857
wk_pat2주중형,0.11764198664
time_pat2점심,0.11731072852
time_pat3_we오전,0.11689498755
time_pat3오전,0.11643323654
time_pat_wk아침,0.11577502136
time_pat_wk오후,0.1152481891
month_pat15월,0.11206162701
time_pat_we오전,0.11127178666
time_pat2오후,0.11099181993
time_pat3_wk출근,0.11023458424
month_pat35월,0.10943483964
d_v_.2,0.107387702
month_pat18월,0.10553422138
time_pat2_wk오전,0.10482770708
time_pat_we점심,0.10461323004
wk_pat1주말형,0.10395768298
month_pat11월,0.10249431862
time_pat2아침,0.10026464647
time_pat_we출근,0.099956746574
time_pat2_we아침,0.098847902824
month_pat36월,0.097310386008
wk_pat3주말형,0.095695192311
day_pat3토요일,0.093556401064
month_pat39월,0.093498982866
day_pat2화요일,0.093348004842
time_pat3_we아침,0.092785797426
month_pat21월,0.090445988019
time_pat_we저녁,0.087757647242
time_pat2출근,0.086680851486
time_pat3점심,0.085947636088
month_pat25월,0.083428204642
day_pat3일요일,0.082503537532
time_pat_wk새벽,0.080904496937
month_pat13월,0.080892672481
month_pat112월,0.080049877729
time_pat3새벽,0.079589507772
time_pat_we아침,0.079548132248
month_pat26월,0.077991176305
time_pat_we새벽,0.077810968526
month_pat212월,0.077731288527
month_pat37월,0.077709630261
s_pr_min,0.077283088385
time_pat3_we새벽,0.07646348775
month_pat14월,0.074785122174
time_pat3_wk점심,0.074583564982
time_pat1새벽,0.073471539859
d_v_.7,0.071269604137
time_pat3_wk아침,0.071006758587
month_pat12월,0.069481268756
time_pat3_we출근,0.067236152782
time_pat3_wk저녁,0.06434443572
time_pat_wk점심,0.063583807225
month_pat17월,0.063220353684
month_pat28월,0.062547147641
time_pat2_wk오후,0.061450403376
d_v_.19,0.060795991415
