CUS_ID,s_v_min,s_t_min,s_pr_min,s_prt_min,s_v_max,s_t_max,s_pr_max,s_prt_max,s_v_mean,s_t_mean,s_pr_mean,s_prt_mean,s_v_median,s_t_median,s_pr_median,s_prt_median,s_v_sd,s_t_sd,s_pr_sd,s_prt_sd
1969,1,2,1,0.66666666667,46,6732,228,223,7.1111111111,606.47777778,21.977777778,26.260182027,5.5,218,13,15.778492239,6.3658383737,894.1030739,26.908692196,31.031162321
1970,1,0,1,0,74,9960,559,88.181818182,13.524509804,1561.4411765,63.808823529,24.550939209,10,948,43.5,22.22648013,11.172820084,1847.382041,70.431378199,17.381143551
1971,1,0,1,0,91,25613,619,599.17073171,6.4778325123,1463.5172414,36.113300493,62.7753805,4,499,14,24.515151515,9.3831137157,3328.7762288,68.228735638,117.04469129
1972,1,0,1,0,45,51386,354,555.44444444,8.0978593272,2414.2996942,41.391437309,61.050350961,6,950,23,26.566666667,7.7528677658,4970.3396999,52.007252209,92.787622704
1973,1,0,1,0,92,11048,797,183,18.352564103,1817.9070513,88.060897436,20.505017582,12.5,942,51.5,16.627777778,17.714348096,2238.6801695,102.22206209,20.758420977
1974,1,0,1,0,24,4460,90,277.5,3.8275862069,464.96206897,9.7344827586,55.530279506,3,277.5,7,42.1,3.13114686,514.69623716,10.311842752,48.930168644
1975,1,0,1,0,43,6684,383,472,3.796474359,320.15544872,13.032051282,24.489668318,2,16.5,3,5.5,4.5829526121,690.84602322,31.606208601,47.065820367
1976,1,0,1,0,40,4459,146,485,5.2179487179,698.6474359,29.788461538,30.554550668,4,442.5,17,18.028571429,5.2293154697,856.02532978,32.156474212,57.663514965
1977,1,0,1,0,92,11822,516,272.5,8.5577689243,583.05179283,30.986055777,16.626774531,4,122,12,9.3960836671,12.061041082,1176.989343,49.663918444,25.959350908
1978,1,0,1,0,64,13212,552,77,22.443514644,2698.3640167,104.07949791,25.732226673,19,2049,82,24.822580645,16.302676412,2531.8997778,93.210376707,12.284461382
1979,1,0,1,0,34,4463,113,277,6.1941176471,636.8,21.411764706,32.157412361,4,283.5,12,25.087121212,5.4743047532,754.48380881,22.90721915,35.997803621
